date,WindDir,WindSpeed,WaveHeight,WavePeriod,year,month,hour
1,335,1.3,0.2,99.8,2021,1,0
1,282,2.9,0.2,4.2,2021,1,1
1,299,1.9,0.3,3.5,2021,1,2
1,303,2.4,0.3,3.6,2021,1,3
1,11,2.4,0.3,3.9,2021,1,4
1,330,2.1,0.3,3.6,2021,1,5
1,329,2.8,0.3,3.6,2021,1,6
1,335,1.7,0.3,3.9,2021,1,7
1,313,2.7,0.3,4.3,2021,1,8
1,313,2.1,0.3,4.5,2021,1,9
1,328,0.9,0.3,4.3,2021,1,10
1,327,1.3,0.3,4.5,2021,1,11
1,295,1.4,0.3,4,2021,1,12
1,225,1.4,0.4,3.5,2021,1,13
1,231,5.5,0.5,3.6,2021,1,14
1,216,2.8,0.7,4,2021,1,15
1,220,3.5,0.6,4.5,2021,1,16
1,225,3.5,0.6,4.4,2021,1,17
1,239,2.9,0.6,4.5,2021,1,18
1,285,4.9,0.6,4.5,2021,1,19
1,310,3.8,0.6,4.4,2021,1,20
1,315,3.3,0.524394424,99.8,2021,1,21
1,307,2.7,0.4,4.5,2021,1,22
1,319,3.2,0.3,4.7,2021,1,23
2,315,4,0.3,4.8,2021,1,0
2,320,3,0.3,4.5,2021,1,1
2,315,4.2,0.3,4.2,2021,1,2
2,330,5,0.3,4.1,2021,1,3
2,327,5,0.237578863,99.8,2021,1,4
2,324,4.3,0.172267973,99.8,2021,1,5
2,353,2.8,0.2,4.2,2021,1,6
2,358,3.5,0.3,3.9,2021,1,7
2,340,5.2,0.2,4.1,2021,1,8
2,329,2.6,0.2,4.6,2021,1,9
2,309,1.9,0.2,4.5,2021,1,10
2,316,1,0.2,5.5,2021,1,11
2,231,0.4,0.2,5,2021,1,12
2,56,0.9,0.24328295,99.8,2021,1,13
2,175,1.1,0.3,3.6,2021,1,14
2,153,2.1,0.3,3.2,2021,1,15
2,149,2.6,0.2,4.1,2021,1,16
2,131,2.4,0.2,4.6,2021,1,17
2,160,1.9,0.2,4.4,2021,1,18
2,132,2.1,0.175459178,99.8,2021,1,19
2,130,2.8,0.2,3.9,2021,1,20
2,121,2.6,0.3,4,2021,1,21
2,143,3,0.3,4,2021,1,22
2,170,2.7,0.2,4,2021,1,23
3,278,2.9,0.2,4.2,2021,1,0
3,324,2.3,0.2,4.5,2021,1,1
3,321,2.7,0.2,4,2021,1,2
3,326,3.8,0.2,3.6,2021,1,3
3,327,4,0.2,3.5,2021,1,4
3,331,3.6,0.2,3.7,2021,1,5
3,351,1.8,0.169404952,99.8,2021,1,6
3,324,1,0.2,3.7,2021,1,7
3,317,1.6,0.3,3.5,2021,1,8
3,358,1.9,0.2,3.5,2021,1,9
3,326,0.3,0.2,3.8,2021,1,10
3,329,1.8,0.3,4.7,2021,1,11
3,335,2.3,0.2,5.2,2021,1,12
3,322,1.6,0.2,4.8,2021,1,13
3,331,2.3,0.2,4.1,2021,1,14
3,351,1.3,0.3,4.2,2021,1,15
3,58,1.1,0.3,3.5,2021,1,16
3,67,1.8,0.243826658,99.7,2021,1,17
3,136,0.8,0.2,3.8,2021,1,18
3,152,2.2,0.2,3.6,2021,1,19
3,104,2.7,0.220838148,99.8,2021,1,20
3,82,3.3,0.3,3.5,2021,1,21
3,84,3,0.4,3.7,2021,1,22
3,34,2.8,0.3,3.8,2021,1,23
4,34,2.1,0.3,4,2021,1,0
4,353,1,0.3,4.3,2021,1,1
4,346,0.6,0.3,4.2,2021,1,2
4,348,2.2,0.3,4,2021,1,3
4,35,1.3,0.3,3.6,2021,1,4
4,22,2,0.3,3.6,2021,1,5
4,58,2.2,0.2,3.7,2021,1,6
4,32,2.5,0.2,3.6,2021,1,7
4,352,1.6,0.2,3.5,2021,1,8
4,332,0.2,0.3,3.6,2021,1,9
4,45,1.4,0.2,4,2021,1,10
4,42,1.2,0.2,4.1,2021,1,11
4,329,2,0.222984499,99.8,2021,1,12
4,333,5.4,0.226533776,99.8,2021,1,13
4,312,3,0.218590803,99.7,2021,1,14
4,294,4.1,0.207098553,99.8,2021,1,15
4,326,6.3,0.2,3.9,2021,1,16
4,332,8,0.2,3.7,2021,1,17
4,324,4.7,0.19374044,99.8,2021,1,18
4,333,5.8,0.182183061,99.8,2021,1,19
4,336,5.4,0.171179096,99.8,2021,1,20
4,337,4.2,0.166579775,99.8,2021,1,21
4,354,3.6,0.174236332,99.8,2021,1,22
4,345,4.9,0.2,3.5,2021,1,23
5,338,3.7,0.2,4.2,2021,1,0
5,351,4.8,0.1,4,2021,1,1
5,354,4,0.2,4.2,2021,1,2
5,351,4,0.2,3.6,2021,1,3
5,3,3.1,0.3,3.5,2021,1,4
5,348,6.3,0.3,3.3,2021,1,5
5,354,5.6,0.2,4.1,2021,1,6
5,341,4.3,0.2,4.2,2021,1,7
5,348,4.2,0.2,3.9,2021,1,8
5,339,4.1,0.3,3.8,2021,1,9
