literature,R2%,setup,Stt,Sinc,Sig,Hs(80m or offshore),Tp,tan,D50,dataset,Hs0,L0
Stockdon et al. 2006,1.187,0.403,1.283,0.191,1.271,2.308,12.207,0.017,0.2,Agate96,2.308,232.5726794
Stockdon et al. 2006,1.105,0.444,1.189,0.104,1.188,2.056,12.654,0.015,0.2,Agate96,2.056,249.9173847
Stockdon et al. 2006,0.704,0.21,0.828,0.115,0.824,1.849,12.904,0.013,0.2,Agate96,1.849,259.8899682
Stockdon et al. 2006,0.68,0.255,0.7,0.109,0.693,1.871,12.8,0.012,0.2,Agate96,1.871,255.7176746
Stockdon et al. 2006,0.704,0.247,0.798,0.139,0.788,1.889,12.8,0.012,0.2,Agate96,1.889,255.7176746
Stockdon et al. 2006,1.357,0.427,1.226,0.153,1.22,2.125,12.532,0.015,0.2,Agate96,2.125,245.1215982
Stockdon et al. 2006,1.139,0.413,1.321,0.204,1.309,2.194,12.41,0.016,0.2,Agate96,2.194,240.372273
Stockdon et al. 2006,1.341,0.579,1.259,0.241,1.244,2.412,13.03,0.017,0.2,Agate96,2.412,264.9900937
Stockdon et al. 2006,1.213,0.522,1.082,0.096,1.079,2.515,14.006,0.017,0.2,Agate96,2.515,306.1745239
Stockdon et al. 2006,1.816,0.645,1.537,0.252,1.525,3.061,14.324,0.015,0.2,Agate96,3.061,320.2354687
Stockdon et al. 2006,1.49,0.404,1.32,0.176,1.33,3.095,14.289,0.014,0.2,Agate96,3.095,318.6724209
Stockdon et al. 2006,0.779,0.269,0.729,0.126,0.719,3.077,7.061,0.019,0.2,Agate96,3.077,77.81677537
Stockdon et al. 2006,0.864,0.267,0.85,0.166,0.835,3.106,7.314,0.023,0.2,Agate96,3.106,83.49312558
Stockdon et al. 2006,0.674,0.204,0.811,0.176,0.793,3.142,7.618,0.023,0.2,Agate96,3.142,90.57800351
Stockdon et al. 2006,1.026,0.216,1.362,1.156,0.72,0.981,9.5,0.14,0.75,Duck82,0.981,140.8601082
Stockdon et al. 2006,1.123,0.108,1.559,1.267,0.909,0.854,11,0.16,0.75,Duck82,0.854,188.8539955
Stockdon et al. 2006,2.063,0.811,2.332,1.851,1.419,0.854,11,0.16,0.75,Duck82,0.854,188.8539955
Stockdon et al. 2006,1.126,0.234,1.166,0.962,0.659,0.568,9.3,0.14,0.75,Duck82,0.568,134.9915874
Stockdon et al. 2006,0.849,0.066,0.996,0.79,0.606,0.478,7.4,0.14,0.75,Duck82,0.478,85.46813881
Stockdon et al. 2006,1.995,0.983,1.475,1.152,0.921,2.196,7.9,0.16,0.75,Duck82,2.196,97.4080815
Stockdon et al. 2006,2.628,1.496,1.734,1.298,1.15,2.477,12.1,0.12,0.75,Duck82,2.477,228.5133346
Stockdon et al. 2006,2.68,1.471,1.716,1.151,1.273,2.629,11.6,0.12,0.75,Duck82,2.629,210.0181293
Stockdon et al. 2006,2.487,1.098,2.09,1.288,1.646,2.036,13.8,0.13,0.75,Duck82,2.036,297.2343381
Stockdon et al. 2006,2.803,0.976,2.407,1.541,1.849,1.892,14.6,0.12,0.75,Duck82,1.892,332.6951875
Stockdon et al. 2006,2.802,0.871,2.459,1.556,1.904,1.96,14.4,0.12,0.75,Duck82,1.96,323.6426819
Stockdon et al. 2006,2.176,0.716,2.098,1.149,1.756,1.804,15.3,0.12,0.75,Duck82,1.804,365.3622464
Stockdon et al. 2006,3.179,1.081,2.851,1.612,2.351,2.255,16.2,0.12,0.75,Duck82,2.255,409.6102693
Stockdon et al. 2006,3.024,1.074,3.041,2.107,2.193,2.213,15.1,0.12,0.75,Duck82,2.213,355.8727233
Stockdon et al. 2006,3.064,0.135,2.926,2.089,2.048,2.269,16.5,0.12,0.75,Duck82,2.269,424.92149
Stockdon et al. 2006,3.21,1.175,2.834,1.943,2.063,2.336,16.3,0.12,0.75,Duck82,2.336,414.682794
Stockdon et al. 2006,2.313,0.829,2.024,1.108,1.694,1.776,16,0.12,0.75,Duck82,1.776,399.5588666
Stockdon et al. 2006,1.923,0.689,1.868,0.934,1.618,1.733,14.6,0.12,0.75,Duck82,1.733,332.6951875
Stockdon et al. 2006,2.151,0.9,1.748,1.296,1.173,1.573,13.8,0.12,0.75,Duck82,1.573,297.2343381
Stockdon et al. 2006,2.193,0.878,1.914,1.47,1.226,2.672,14.8,0.12,0.75,Duck82,2.672,341.8725552
Stockdon et al. 2006,1.581,0.572,1.635,1.256,1.047,1.452,14.4,0.12,0.75,Duck82,1.452,323.6426819
Stockdon et al. 2006,1.849,0.86,1.431,1.118,0.894,1.151,12.5,0.11,0.75,Duck82,1.151,243.8713785
Stockdon et al. 2006,1.42,0.661,1.166,0.962,0.659,0.767,12.5,0.11,0.75,Duck82,0.767,243.8713785
Stockdon et al. 2006,1.037,0.499,0.748,0.621,0.417,0.715,11.8,0.11,0.75,Duck82,0.715,217.3225648
Stockdon et al. 2006,1.293,0.62,0.903,0.766,0.478,0.725,11.1,0.11,0.75,Duck82,0.725,192.3033123
Stockdon et al. 2006,1.39,0.824,0.704,0.446,0.545,1.512,6.3,0.12,0.75,Duck82,1.512,61.94723209
