zeta,Hrms,Hs,L0,Lp,tanbeta,D50 mm
0.193929,1.10807,1.567047622,92.66719814,102.5890698,0.04,0.18
0.277462,1.09589,1.549822501,77.7837009,86.11199735,0.04,0.18
0.315002,1.11416,1.575660183,69.87984557,77.36187667,0.04,0.18
0.35244,1.18113,1.670370065,74.01123508,81.93561382,0.04,0.18
0.353394,0.724505,1.024604797,139.0873418,153.9794156,0.04,0.18
0.35687,1.05936,1.498161279,235.6934772,260.9291644,0.04,0.18
0.379443,2.24658,3.177143905,91.52507027,101.3246543,0.04,0.18
0.388252,2.0274,2.867176576,47.29853815,52.36278995,0.04,0.18
0.406606,1.23592,1.747854826,88.2101962,97.65485691,0.04,0.18
0.407114,0.99239,1.403451397,112.3985227,124.4330262,0.04,0.18
0.432471,0.846271,1.196807926,269.6896305,298.5652839,0.04,0.18
0.433927,2.14916,3.03937122,145.8440686,161.4595848,0.04,0.18
0.454193,2.4414,3.452660991,48.52282822,53.71816468,0.04,0.18
0.469198,1.25419,1.773692508,84.82020971,93.90190475,0.04,0.18
0.487787,2.35008,3.323515009,117.3191637,129.8805199,0.04,0.18
0.494441,1.16286,1.644532383,92.16080637,102.0284587,0.04,0.18
0.4984,1.26636,1.790903487,74.33235461,82.2911156,0.04,0.18
0.511244,1.11416,1.575660183,91.6919785,101.5094334,0.04,0.18
0.516709,2.49619,3.530145752,136.0615228,150.6296223,0.04,0.18
0.537586,2.49619,3.530145752,140.2633512,155.2813402,0.04,0.18
0.581946,1.2481,1.765079947,87.78492852,97.18405584,0.04,0.18
0.783348,2.77626,3.926224545,151.6430863,167.879503,0.04,0.18
0.871094,2.74581,3.883161742,144.8458781,160.354518,0.04,0.18
1.08216,3.64688,5.157467156,195.5585018,216.4969395,0.04,0.18
1.18314,3.27549,4.632242381,167.3003565,185.2131962,0.04,0.18
1.22934,3.14764,4.451435177,164.5010309,182.114147,0.04,0.18
1.23331,3.24505,4.589193721,171.1656821,189.492382,0.04,0.18
0.232181,0.785388,1.110706361,79.41342152,87.91621206,0.11,0.5
0.282679,0.596651,0.843791936,96.00162846,106.2805174,0.11,0.5
0.387025,0.614916,0.869622547,87.07300932,96.39591149,0.11,0.5
0.382761,0.657534,0.929893501,112.898488,124.9865227,0.11,0.5
0.415579,0.937595,1.325959565,64.24380805,71.12238894,0.11,0.5
0.549318,0.876712,1.239858001,62.89152336,69.6253152,0.11,0.5
0.549267,0.901065,1.274298344,73.09421489,80.92040833,0.11,0.5
0.549064,0.998478,1.412061129,192.7201553,213.3546914,0.11,0.5
0.774317,1.10198,1.558435061,245.8469593,272.1697792,0.11,0.5
0.774241,1.13851,1.610096283,111.4260518,123.3564329,0.11,0.5
0.816071,1.10198,1.558435061,99.83577126,110.5251816,0.11,0.5
0.832671,1.15068,1.627307262,285.3237045,315.8732973,0.11,0.5
0.853535,1.15677,1.635919823,123.3853053,136.5961629,0.11,0.5
0.832544,1.21157,1.713418726,395.6811443,438.046702,0.11,0.5
0.861759,1.21766,1.722031286,113.2522594,125.3781724,0.11,0.5
0.892492,2.49619,3.530145752,157.3680321,174.2174184,0.11,0.5
1.31858,2.39878,3.392387209,170.6306955,188.9001144,0.11,0.5
1.05951,2.49619,3.530145752,198.1810949,219.4003335,0.11,0.5
0.833618,2.69711,3.814289541,46.66031836,51.656236,0.11,0.5
0.466103,0.736682,1.041825676,71.73584069,79.41659309,0.11,0.5
0.260989,0.986301,1.394840251,96.62895481,106.9750115,0.1,0.4
0.282641,0.614916,0.869622547,102.3690325,113.329679,0.1,0.4
0.31518,1.02892,1.455112619,94.86689737,105.0242907,0.1,0.4
0.332771,0.60274,0.852403083,107.5497874,119.0651371,0.1,0.4
0.474123,0.894977,1.265688611,65.814945,72.86174743,0.1,0.4
0.515737,0.961948,1.360399908,76.21571021,84.37612198,0.1,0.4
0.528378,0.907154,1.28290949,83.12154342,92.02136236,0.1,0.4
0.603382,0.980213,1.386230519,71.20476088,78.82865058,0.1,0.4
0.611783,0.95586,1.351790176,78.05811037,86.41578782,0.1,0.4
0.643,2.00304,2.832726334,132.7703595,146.9860743,0.1,0.4
0.643216,1.89954,2.68635523,162.4453196,179.8383308,0.1,0.4
0.684728,2.01522,2.849951455,150.9507377,167.1130247,0.1,0.4
0.71379,2.09437,2.961886459,153.4328038,169.8608454,0.1,0.4
0.768477,1.89954,2.68635523,139.8295197,154.8010584,0.1,0.4
0.785394,1.79604,2.539984127,160.6370723,177.8364745,0.1,0.4
0.79595,2.73973,3.874563323,110.916622,122.7924584,0.1,0.4
0.877036,1.89954,2.68635523,143.1852259,158.5160599,0.1,0.4
0.907041,2.4414,3.452660991,130.1997523,144.1402324,0.1,0.4
0.996648,2.60578,3.685129417,143.2944407,158.6369683,0.1,0.4
1.04698,2.49619,3.530145752,180.5722411,199.9061007,0.1,0.4
1.07036,3.29985,4.666692624,161.0402095,178.2827756,0.1,0.4
1.18019,2.69102,3.805676981,133.3532238,147.6313459,0.1,0.4
1.18793,2.98326,4.218966752,147.4421739,163.2287991,0.1,0.4
1.34864,4,5.656854249,145.5195879,161.1003619,0.1,0.4
1.37432,3.70167,5.234951917,136.7723219,151.4165266,0.1,0.4
1.43321,3.49467,4.94220971,149.019856,164.9754036,0.1,0.4
1.46074,4.30441,6.087355,155.3927434,172.0306357,0.1,0.4
0.411842,2.72755,3.857338202,66.27782885,73.37419223,0.06,0.22
0.530888,1.70472,2.410838144,164.0476937,181.612271,0.06,0.22
0.55301,1.10807,1.567047622,240.1569453,265.8705358,0.06,0.22
0.583515,2.49619,3.530145752,84.07508012,93.07699418,0.06,0.22
0.58635,1.13851,1.610096283,202.2515834,223.906649,0.06,0.22
0.598431,1.3516,1.911451051,200.7814459,222.2791039,0.06,0.22
0.604545,2.42314,3.426837452,280.9977286,311.0841394,0.06,0.22
0.615889,2.98935,4.227579313,66.34865067,73.45259694,0.06,0.22
0.632113,1.21766,1.722031286,211.9668079,234.662082,0.06,0.22
0.657325,3.014155,4.26265888,132.1570132,146.3070572,0.06,0.22
0.665707,1.12633,1.592871162,496.7942734,549.9860081,0.06,0.22
0.678722,2.89193,4.089806627,101.1053104,111.9306503,0.06,0.22
0.680019,2.27093,3.211580005,218.4312084,241.8186255,0.06,0.22
0.683444,2.63014,3.719579659,109.812872,121.5705299,0.06,0.22
0.686584,1.12633,1.592871162,281.5021527,311.6425723,0.06,0.22
0.688014,2.4414,3.452660991,140.7427078,155.8120216,0.06,0.22
0.69332,1.89954,2.68635523,148.3959024,164.2846432,0.06,0.22
0.706889,1.4003,1.980323251,336.3306312,372.3415328,0.06,0.22
0.715659,1.19939,1.696193605,398.528226,441.1986206,0.06,0.22
